ply_number,material_diff,mobility_diff,white_king_attackers,black_king_attackers,king_safety_diff,white_castling_rights_lost,black_castling_rights_lost,pawn_diff,rating_diff,is_check,white_to_move,label_white_wins,game_id
5,1,0,0,0,0,0,0,1,309,0,0,1,TZJHLljE
6,1,-6,0,0,0,0,0,1,309,0,1,1,TZJHLljE
7,2,-5,0,0,0,0,0,2,309,0,0,1,TZJHLljE
10,1,-35,1,0,-1,0,0,1,309,1,1,1,TZJHLljE
6,0,7,0,0,0,0,0,0,61,0,1,0,l1NXvwaE
7,1,10,0,0,0,0,0,1,61,0,0,0,l1NXvwaE
8,0,7,0,0,0,0,0,0,61,0,1,0,l1NXvwaE
16,-9,-33,1,0,-1,0,0,0,61,1,1,0,l1NXvwaE
10,0,2,0,0,0,0,0,0,-4,0,1,1,mIICvQHh
39,21,38,0,0,0,0,1,4,-4,0,0,1,mIICvQHh
48,31,37,0,0,0,0,1,6,-4,0,1,1,mIICvQHh
52,31,36,0,0,0,0,1,6,-4,0,1,1,mIICvQHh
6,0,-4,0,0,0,0,0,0,-15,0,1,1,kWKvrqYL
7,0,3,0,0,0,0,0,0,-15,0,0,1,kWKvrqYL
32,6,10,0,0,0,1,1,0,-15,0,1,1,kWKvrqYL
42,12,18,0,0,0,1,1,1,-15,0,1,1,kWKvrqYL
16,0,14,0,0,0,0,1,0,54,0,1,1,9tXo1AUZ
32,0,8,0,0,0,1,1,0,54,0,1,1,9tXo1AUZ
34,5,1,0,0,0,1,1,0,54,0,1,1,9tXo1AUZ
69,6,7,0,0,0,1,1,1,54,0,0,1,9tXo1AUZ
5,-1,9,0,0,0,0,0,-1,97,0,0,1,qwU9rasv
11,-1,15,0,0,0,0,0,-1,97,0,0,1,qwU9rasv
22,-2,-42,1,0,-1,1,0,-2,97,1,1,1,qwU9rasv
24,-2,6,0,0,0,1,0,-2,97,0,1,1,qwU9rasv
5,0,9,0,0,0,0,0,0,-695,0,0,0,RVN0N3VK
6,0,18,0,0,0,0,0,0,-695,0,1,0,RVN0N3VK
8,0,11,0,0,0,0,0,0,-695,0,1,0,RVN0N3VK
9,0,13,0,0,0,0,0,0,-695,0,0,0,RVN0N3VK
22,0,15,0,0,0,0,1,0,47,0,1,0,dwF3DJHO
42,-2,-1,0,0,0,1,1,0,47,0,1,0,dwF3DJHO
56,-4,-41,1,0,-1,1,1,1,47,1,1,0,dwF3DJHO
60,-7,-8,0,0,0,1,1,1,47,0,1,0,dwF3DJHO
5,0,-15,0,0,0,0,0,0,172,0,0,1,afoMwnLg
25,-3,4,0,0,0,0,1,0,172,0,0,1,afoMwnLg
102,9,24,0,0,0,1,1,0,172,0,1,1,afoMwnLg
108,9,24,0,0,0,1,1,0,172,0,1,1,afoMwnLg
14,0,8,0,0,0,0,0,0,109,0,1,1,HgKLWPsz
22,0,3,0,0,0,1,1,0,109,0,1,1,HgKLWPsz
26,0,4,0,0,0,1,1,0,109,0,1,1,HgKLWPsz
32,0,14,0,0,0,1,1,0,109,0,1,1,HgKLWPsz
10,0,0,0,0,0,0,0,0,-486,0,1,0,Vf5fKWzI
11,0,1,0,0,0,0,0,0,-486,0,0,0,Vf5fKWzI
18,-2,-6,0,0,0,0,0,-2,-486,0,1,0,Vf5fKWzI
26,-2,10,0,0,0,1,0,-2,-486,0,1,0,Vf5fKWzI
11,0,9,0,0,0,0,0,0,-555,0,0,0,HRti5mKv
27,-1,3,0,0,0,1,1,-1,-555,0,0,0,HRti5mKv
29,-1,-4,0,0,0,1,1,-1,-555,0,0,0,HRti5mKv
59,-1,-5,0,0,0,1,1,-1,-555,0,0,0,HRti5mKv
13,1,17,0,0,0,0,0,1,-226,0,0,0,2fEjSei6
16,0,2,0,0,0,0,0,0,-226,0,1,0,2fEjSei6
24,0,-9,0,0,0,0,0,0,-226,0,1,0,2fEjSei6
